"日付","銘柄名","コード","業種","JPX日経400に占める個別銘柄のウェイト"
"2022/08/31","日本水産","1332","水産・農林業","0.0395%"
"2022/08/31","ウエストホールディングス","1407","建設業","0.0278%"
"2022/08/31","ショーボンドホールディングス","1414","建設業","0.0525%"
"2022/08/31","ミライト・ワン","1417","建設業","0.0376%"
"2022/08/31","ＩＮＰＥＸ","1605","鉱業","0.3790%"
"2022/08/31","安藤・間","1719","建設業","0.0294%"
"2022/08/31","コムシスホールディングス","1721","建設業","0.0623%"
"2022/08/31","大成建設","1801","建設業","0.2029%"
"2022/08/31","大林組","1802","建設業","0.1544%"
"2022/08/31","清水建設","1803","建設業","0.1132%"
"2022/08/31","長谷工コーポレーション","1808","建設業","0.0738%"
"2022/08/31","鹿島建設","1812","建設業","0.1720%"
"2022/08/31","西松建設","1820","建設業","0.0421%"
"2022/08/31","戸田建設","1860","建設業","0.0454%"
"2022/08/31","熊谷組","1861","建設業","0.0227%"
"2022/08/31","大東建託","1878","建設業","0.2420%"
"2022/08/31","五洋建設","1893","建設業","0.0467%"
"2022/08/31","住友林業","1911","建設業","0.0813%"
"2022/08/31","大和ハウス工業","1925","建設業","0.4272%"
"2022/08/31","積水ハウス","1928","建設業","0.3878%"
"2022/08/31","関電工","1942","建設業","0.0235%"
"2022/08/31","エクシオグループ","1951","建設業","0.0512%"
"2022/08/31","九電工","1959","建設業","0.0305%"
"2022/08/31","ＮＥＣネッツエスアイ","1973","情報・通信業","0.0311%"
"2022/08/31","ＵＴグループ","2146","サービス業","0.0212%"
"2022/08/31","エス・エム・エス","2175","サービス業","0.0573%"
"2022/08/31","パーソルホールディングス","2181","サービス業","0.1479%"
"2022/08/31","森永製菓","2201","食料品","0.0441%"
"2022/08/31","カルビー","2229","食料品","0.0693%"
"2022/08/31","森永乳業","2264","食料品","0.0398%"
"2022/08/31","ヤクルト本社","2267","食料品","0.2879%"
"2022/08/31","明治ホールディングス","2269","食料品","0.2011%"
"2022/08/31","プリマハム","2281","食料品","0.0150%"
"2022/08/31","日本ハム","2282","食料品","0.0770%"
"2022/08/31","システナ","2317","情報・通信業","0.0330%"
"2022/08/31","日鉄ソリューションズ","2327","情報・通信業","0.0356%"
"2022/08/31","綜合警備保障","2331","サービス業","0.0691%"
"2022/08/31","カカクコム","2371","サービス業","0.0996%"
"2022/08/31","ディップ","2379","サービス業","0.0335%"
"2022/08/31","ＳＢＳホールディングス","2384","陸運業","0.0118%"
"2022/08/31","ベネフィット・ワン","2412","サービス業","0.0396%"
"2022/08/31","エムスリー","2413","サービス業","0.4184%"
"2022/08/31","博報堂ＤＹホールディングス","2433","サービス業","0.0830%"
"2022/08/31","バリューコマース","2491","サービス業","0.0090%"
"2022/08/31","アサヒグループホールディングス","2502","食料品","0.4845%"
"2022/08/31","キリンホールディングス","2503","食料品","0.4646%"
"2022/08/31","宝ホールディングス","2531","食料品","0.0325%"
"2022/08/31","サントリー食品インターナショナル","2587","食料品","0.1611%"
"2022/08/31","ローソン","2651","小売業","0.0552%"
