,code,date,ar1,ar2,ar3,ar4,ar5,car1,car2,car3,car4,car5
0,1419,2020-03-15,,,,,,,,,,
1,1766,2018-02-11,,,,,,,,,,
2,1766,2018-02-18,,,,,,,,,,
3,1766,2018-03-18,,,,,,,,,,
4,1766,2018-03-25,,,,,,,,,,
5,1766,2018-07-08,,,,,,,,,,
6,1766,2018-07-15,,,,,,,,,,
7,1766,2018-07-22,,,,,,,,,,
8,1766,2018-08-12,,,,,,,,,,
9,1766,2018-12-16,,,,,,,,,,
10,1766,2018-12-23,,,,,,,,,,
11,1766,2020-03-15,,,,,,,,,,
12,1766,2020-08-09,0.01449190395108467,-0.014739893956575382,0.0036658870413012207,0.046504199902115156,0.09382520019911532,0.01449190395108467,-0.00024799000549071207,0.0034178970358105087,0.04992209693792567,0.14374729713704099
13,1766,2022-02-27,-0.035446129201534234,-0.021352163820012468,0.04136088191471944,-0.03286806687604944,0.01476123844119142,-0.035446129201534234,-0.0567982930215467,-0.01543741110682726,-0.0483054779828767,-0.03354423954168528
14,1766,2022-03-06,-0.02099128660572678,0.04167108097185236,-0.03254480262925898,0.0150939646175804,-0.007692345210732476,-0.02099128660572678,0.020679794366125583,-0.0118650082631334,0.0032289563544469994,-0.004463388856285477
15,1766,2022-03-13,0.041749292357550566,-0.03258317947111224,0.014971153517210912,-0.007971139914027803,-0.005051931462421623,0.041749292357550566,0.009166112886438323,0.024137266403649237,0.016166126489621433,0.01111419502719981
16,1766,2022-06-19,0.002362607324829201,0.04647828856677469,0.04816849531222747,0.060386686778079554,-0.02381101499331057,0.002362607324829201,0.04884089589160389,0.09700939120383137,0.1573960779819109,0.13358506298860034
17,1766,2022-06-26,0.046070726765468036,0.04780897176986332,0.05994212266458988,-0.02402824534877014,0.021940015621340538,0.046070726765468036,0.09387969853533135,0.15382182119992122,0.1297935758511511,0.15173359147249163
18,1786,2021-11-21,,,,,,,,,,
19,1786,2021-11-28,,,,,,,,,,
20,1786,2021-12-05,,,,,,,,,,
21,1786,2021-12-12,,,,,,,,,,
22,1835,2018-02-11,,,,,,,,,,
23,1835,2018-02-18,,,,,,,,,,
24,1835,2018-08-12,,,,,,,,,,
25,1835,2019-08-04,,,,,,,,,,
26,1835,2020-02-23,,,,,,,,,,
27,1835,2020-03-01,,,,,,,,,,
28,1835,2020-03-08,,,,,,,,,,
29,1835,2020-03-15,,,,,,,,,,
30,1835,2020-08-02,-0.010101918381182434,0.046217921003789554,-0.0010830718412919358,-0.016373670743190002,0.020355967780468828,-0.010101918381182434,0.03611600262260712,0.03503293078131518,0.01865926003812518,0.03901522781859401
31,1835,2020-08-09,0.04634034219440862,-0.0010058371402233187,-0.016285637480392922,0.020425948860846452,0.006446234663607485,0.04634034219440862,0.0453345050541853,0.029048867573792377,0.04947481643463883,0.05592105109824631
